Nombre;Apellido;Edad;Cursos;Celular;Correo
Estefania;Arocas Pasadas;73;Historia;938205580;africa@altecom.es
Queralt;Viso Gilabert;34;Computación;936545115;agata@hotmail.com
Joan;Ayala Ferreras;61;Matematica;938202768;albatros@wandoo.es
Joan;Baez Tejado;70;Algebra;938727844;albert@intercom.es
Marc;Bastardes Soto;20;Biologia;938350521;alien@intercom.es
Josep;Anguera Vilafranca;53;Literatura;938755645;amores@hotmail.com
Esther;Pascual Aloy;60;Trigonometria;936520547;anabel@altecom.es
Laura;Vallés Girvent;70;Geometria;936565656;antiga@minorisa.es
Raquel;Raya Garcia;65;Quimica;936752156;ballador@hotmail.com
Joan;Andreu Cruz;67;Fisica;937809812;cangur@intercom.es
